device_id,iteration,accuracy,f1_score,roc_auc_score,anomaly_classification,fault_classification
114,1,0.8703339882121808,0.75,0.9087762771745772,Anomaly Detected,Potential Fault Detected
114,2,0.8673870333988212,0.7584973166368515,0.9126425069122526,Anomaly Detected,Potential Fault Detected
114,3,0.861984282907662,0.7475292003593891,0.9154556554385178,Anomaly Detected,Potential Fault Detected
114,4,0.8580550098231827,0.7389340560072267,0.8993873215969781,Anomaly Detected,Potential Fault Detected
114,5,0.8683693516699411,0.7607142857142857,0.9168188069882907,Anomaly Detected,Potential Fault Detected
114,6,0.8565815324165029,0.7364620938628159,0.9060705596576618,Anomaly Detected,Potential Fault Detected
114,7,0.8683693516699411,0.7607142857142857,0.9168188069882907,Anomaly Detected,Potential Fault Detected
114,8,0.8683693516699411,0.7554744525547445,0.9139085202439906,Anomaly Detected,Potential Fault Detected
114,9,0.862475442043222,0.7421731123388582,0.9085208872900753,Anomaly Detected,Potential Fault Detected
114,10,0.8595284872298625,0.7409420289855072,0.9048926783515581,Anomaly Detected,Potential Fault Detected
114,11,0.8595284872298625,0.7366482504604052,0.9026353405562996,Anomaly Detected,Potential Fault Detected
114,12,0.8590373280943026,0.7416741674167416,0.9028302602918264,Anomaly Detected,Potential Fault Detected
114,13,0.8590373280943026,0.7416741674167416,0.9158879526737453,Anomaly Detected,Potential Fault Detected
114,14,0.8605108055009824,0.7404021937842779,0.9071931172104475,Anomaly Detected,Potential Fault Detected
114,15,0.8551080550098232,0.731084776663628,0.9063137268524772,Anomaly Detected,Potential Fault Detected
114,16,0.8678781925343811,0.7478912839737581,0.9175315827868504,Anomaly Detected,Potential Fault Detected
114,17,0.8713163064833006,0.7626811594202898,0.9226278010866613,Anomaly Detected,Potential Fault Detected
114,18,0.8742632612966601,0.7620817843866171,0.9214762950583023,Anomaly Detected,Potential Fault Detected
114,19,0.8595284872298625,0.7409420289855072,0.9048926783515581,Anomaly Detected,Potential Fault Detected
114,20,0.8590373280943026,0.7421383647798742,0.9141195224659469,Anomaly Detected,Potential Fault Detected
114,21,0.8683693516699411,0.7554744525547445,0.9139085202439906,Anomaly Detected,Potential Fault Detected
114,22,0.8575638506876228,0.7387387387387387,0.9137335427916367,Anomaly Detected,Potential Fault Detected
114,23,0.862475442043222,0.7402597402597403,0.9160294785543259,Anomaly Detected,Potential Fault Detected
114,24,0.8570726915520629,0.7317972350230415,0.9083684253187227,Anomaly Detected,Potential Fault Detected
114,25,0.8575638506876228,0.7373188405797102,0.9011139373400597,Anomaly Detected,Potential Fault Detected
114,26,0.8595284872298625,0.7366482504604052,0.9026353405562996,Anomaly Detected,Potential Fault Detected
114,27,0.8560903732809431,0.7367475292003594,0.9166521924288801,Anomaly Detected,Potential Fault Detected
114,28,0.862475442043222,0.7402597402597403,0.9160294785543259,Anomaly Detected,Potential Fault Detected
114,29,0.8683693516699411,0.7576853526220615,0.919947172248576,Anomaly Detected,Potential Fault Detected
114,30,0.8664047151277013,0.755834829443447,0.9134118930630446,Anomaly Detected,Potential Fault Detected
161,1,0.7966557181248134,0.4815378759040731,0.7968300305244927,Anomaly Detected,Potential Fault Detected
161,2,0.8006121230217975,0.48226400465206437,0.7994474913013284,Anomaly Detected,Potential Fault Detected
161,3,0.7989698417438041,0.4786060019361084,0.796995305783196,Anomaly Detected,Potential Fault Detected
161,4,0.7955359808898178,0.47719030349303304,0.7918204825078857,Anomaly Detected,Potential Fault Detected
161,5,0.8015079128097939,0.4901246404602109,0.8033363032947797,Anomaly Detected,Potential Fault Detected
161,6,0.7974022096148103,0.47382706475378056,0.7880681649093563,Anomaly Detected,Potential Fault Detected
161,7,0.8004628247237981,0.4812730448282554,0.7928608278462946,Anomaly Detected,Potential Fault Detected
161,8,0.8015079128097939,0.4901246404602109,0.8033363032947797,Anomaly Detected,Potential Fault Detected
161,9,0.8012093162137952,0.4864030858244937,0.7969232437731173,Anomaly Detected,Potential Fault Detected
161,10,0.8038966855777844,0.4923671497584541,0.7969687019590761,Anomaly Detected,Potential Fault Detected
161,11,0.8025530008957897,0.4816774446404076,0.7906308801292004,Anomaly Detected,Potential Fault Detected
161,12,0.7983726485518066,0.485425795389598,0.7974047689951204,Anomaly Detected,Potential Fault Detected
161,13,0.7997163332338011,0.4825458052073288,0.7953538777969718,Anomaly Detected,Potential Fault Detected
161,14,0.7938190504628247,0.47330282227307396,0.7924989199686268,Anomaly Detected,Potential Fault Detected
161,15,0.806509405792774,0.49611197511664074,0.8105137434117088,Anomaly Detected,Potential Fault Detected
161,16,0.8006867721707972,0.48653846153846153,0.7960835455947004,Anomaly Detected,Potential Fault Detected
161,17,0.7948641385488205,0.4765714285714286,0.7949971428851048,Anomaly Detected,Potential Fault Detected
161,18,0.7926993132278292,0.470139286395726,0.7861164788121113,Anomaly Detected,Potential Fault Detected
161,19,0.7971036130188116,0.4919626168224299,0.7990979665850377,Anomaly Detected,Potential Fault Detected
161,20,0.7977754553598089,0.4807360552041403,0.7907146661969056,Anomaly Detected,Potential Fault Detected
161,21,0.7976261570618095,0.48213944603629416,0.7919971422859196,Anomaly Detected,Potential Fault Detected
161,22,0.8000149298297999,0.4864864864864865,0.7941810126589863,Anomaly Detected,Potential Fault Detected
161,23,0.8065840549417737,0.49815998450513266,0.8011476793855714,Anomaly Detected,Potential Fault Detected
161,24,0.798745894296805,0.48628048780487804,0.7968388585201842,Anomaly Detected,Potential Fault Detected
161,25,0.8013586145117946,0.47462981243830205,0.7950557032547142,Anomaly Detected,Potential Fault Detected
161,26,0.8085995819647656,0.4974519796158369,0.8023038272556977,Anomaly Detected,Potential Fault Detected
161,27,0.8000895789787996,0.4853958493466564,0.7993457296767856,Anomaly Detected,Potential Fault Detected
161,28,0.8004628247237981,0.4832785617630002,0.7958400367180708,Anomaly Detected,Potential Fault Detected
161,29,0.803000895789788,0.4906388728044779,0.7971520326659808,Anomaly Detected,Potential Fault Detected
161,30,0.7971036130188116,0.4919626168224299,0.7990979665850377,Anomaly Detected,Potential Fault Detected
183,1,0.7102649006622517,0.5214220601640839,0.7731617550795977,Anomaly Detected,Potential Fault Detected
183,2,0.7450331125827815,0.5875,0.8144138497591119,Anomaly Detected,Potential Fault Detected
183,3,0.7113686534216336,0.5440278988666085,0.7995375340385421,Anomaly Detected,Potential Fault Detected
183,4,0.7295805739514348,0.5797598627787307,0.8218745090594889,Anomaly Detected,Potential Fault Detected
183,5,0.7312362030905077,0.5731814198071867,0.7988346708734814,Anomaly Detected,Potential Fault Detected
183,6,0.7218543046357616,0.5539823008849557,0.7927363714914117,Anomaly Detected,Potential Fault Detected
183,7,0.7240618101545254,0.5387453874538746,0.7831687591642229,Anomaly Detected,Potential Fault Detected
183,8,0.7461368653421634,0.5708955223880597,0.8046744082530373,Anomaly Detected,Potential Fault Detected
183,9,0.7461368653421634,0.5708955223880597,0.8046744082530373,Anomaly Detected,Potential Fault Detected
183,10,0.7378587196467992,0.5709123757904245,0.8150815288542104,Anomaly Detected,Potential Fault Detected
183,11,0.7472406181015453,0.5982456140350877,0.8247898774612483,Anomaly Detected,Potential Fault Detected
183,12,0.7179911699779249,0.5583405358686258,0.8020216930247172,Anomaly Detected,Potential Fault Detected
183,13,0.7455849889624724,0.5858041329739443,0.8120360612170088,Anomaly Detected,Potential Fault Detected
183,14,0.7362030905077263,0.5709156193895871,0.7964241529639715,Anomaly Detected,Potential Fault Detected
183,15,0.7290286975717439,0.5666372462488968,0.8018244985860913,Anomaly Detected,Potential Fault Detected
183,16,0.7113686534216336,0.5440278988666085,0.7995375340385421,Anomaly Detected,Potential Fault Detected
183,17,0.7168874172185431,0.5648854961832062,0.789216328026812,Anomaly Detected,Potential Fault Detected
183,18,0.7466887417218543,0.5432835820895522,0.7928517425115209,Anomaly Detected,Potential Fault Detected
183,19,0.7323399558498896,0.5650224215246636,0.80095062447633,Anomaly Detected,Potential Fault Detected
183,20,0.7190949227373068,0.569737954353339,0.8109895396941768,Anomaly Detected,Potential Fault Detected
183,21,0.7378587196467992,0.5497630331753555,0.7944096604000838,Anomaly Detected,Potential Fault Detected
183,22,0.7218543046357616,0.5539823008849557,0.7927363714914117,Anomaly Detected,Potential Fault Detected
183,23,0.7235099337748344,0.5699570815450644,0.8065792574361124,Anomaly Detected,Potential Fault Detected
183,24,0.7323399558498896,0.5704162976085031,0.8136643472454965,Anomaly Detected,Potential Fault Detected
183,25,0.7064017660044151,0.5506756756756757,0.7933893223711772,Anomaly Detected,Potential Fault Detected
183,26,0.7317880794701986,0.5629496402877698,0.8041581024821953,Anomaly Detected,Potential Fault Detected
183,27,0.7389624724061811,0.5696087352138307,0.7990032271156264,Anomaly Detected,Potential Fault Detected
183,28,0.7235099337748344,0.5654813529921943,0.8048716026916631,Anomaly Detected,Potential Fault Detected
183,29,0.7522075055187638,0.5593719332679097,0.7826164510892333,Anomaly Detected,Potential Fault Detected
183,30,0.75,0.5563173359451518,0.8027417391076664,Anomaly Detected,Potential Fault Detected
